crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 2IA,NRCC,1,4,5,0,5
Crew 2IA,NRCC,1,5,5,0,5
Crew 2IA,NRCC,2,1,5,0,5
Crew 2IA,NRCC,2,2,5,0,5
Crew 2IA,NRCC,2,3,3,2,5
Crew 2IA,NRCC,2,4,4,1,5
Crew 2IA,NRCC,2,5,4,1,5
Crew 2IA,NRCC,3,1,5,0,5
Crew 2IA,NRCC,3,2,5,0,5
Crew 2IA,NRCC,3,3,5,0,5
Crew 2IA,NRCC,3,4,5,0,5
Crew 2IA,NRCC,3,5,4,1,5
Crew 2IA,NRCC,4,1,5,0,5
Crew 2IA,NRCC,4,2,5,0,5
Crew 2IA,NRCC,4,3,5,0,5
Crew 2IA,NRCC,4,4,5,0,5
Crew 2IA,NRCC,4,5,5,0,5
Crew 2IA,NRCC,5,1,5,0,5
Crew 2IA,NRCC,5,2,5,0,5
Crew 2IA,NRCC,5,3,5,0,5
Crew 2IA,NRCC,5,4,5,0,5
Crew 2IA,NRCC,5,5,5,0,5
Crew 2IA,GBCC,1,1,6,0,6
Crew 2IA,GBCC,1,2,5,1,6
Crew 2IA,GBCC,1,3,5,1,6
Crew 2IA,GBCC,1,4,6,0,6
Crew 2IA,GBCC,1,5,6,0,6
Crew 2IA,GBCC,2,1,6,0,6
Crew 2IA,GBCC,2,2,6,0,6
Crew 2IA,GBCC,2,3,5,1,6
Crew 2IA,GBCC,2,4,6,0,6
Crew 2IA,GBCC,2,5,6,0,6
Crew 2IA,GBCC,3,1,6,0,6
Crew 2IA,GBCC,3,2,6,0,6
Crew 2IA,GBCC,3,3,5,1,6
Crew 2IA,GBCC,3,4,5,1,6
Crew 2IA,GBCC,3,5,5,1,6
Crew 2IA,GBCC,4,1,6,0,6
Crew 2IA,GBCC,4,2,6,0,6
Crew 2IA,GBCC,4,3,6,0,6
Crew 2IA,GBCC,4,4,6,0,6
Crew 2IA,GBCC,4,5,6,0,6
Crew 2IA,GBCC,5,1,6,0,6
Crew 2IA,GBCC,5,2,6,0,6
Crew 2IA,GBCC,5,3,6,0,6
Crew 2IA,GBCC,5,4,6,0,6
Crew 2IA,GBCC,5,5,6,0,6
Crew 2IA,SWCC,1,1,2,1,3
Crew 2IA,SWCC,1,2,3,0,3
Crew 2IA,SWCC,1,3,3,0,3
Crew 2IA,SWCC,1,4,3,0,3
Crew 2IA,SWCC,1,5,3,0,3
Crew 2IA,SWCC,2,1,3,0,3
Crew 2IA,SWCC,2,2,3,0,3
Crew 2IA,SWCC,2,3,3,0,3
Crew 2IA,SWCC,2,4,3,0,3
Crew 2IA,SWCC,2,5,3,0,3
Crew 2IA,SWCC,3,1,3,0,3
Crew 2IA,SWCC,3,2,3,0,3
