crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 2IA,NWCC,1,2,8,7,46,15
Crew 2IA,NWCC,1,3,15,0,0,15
Crew 2IA,NWCC,1,4,15,0,0,15
Crew 2IA,NWCC,1,5,15,0,0,15
Crew 2IA,NWCC,2,1,8,7,46,15
Crew 2IA,NWCC,2,2,8,7,46,15
Crew 2IA,NWCC,2,3,8,7,46,15
Crew 2IA,NWCC,2,4,8,7,46,15
Crew 2IA,NWCC,2,5,15,0,0,15
Crew 2IA,NWCC,3,1,15,0,0,15
Crew 2IA,NWCC,3,2,15,0,0,15
Crew 2IA,NWCC,3,3,15,0,0,15
Crew 2IA,NWCC,3,4,15,0,0,15
Crew 2IA,NWCC,3,5,15,0,0,15
Crew 2IA,NWCC,4,1,15,0,0,15
Crew 2IA,NWCC,4,2,15,0,0,15
Crew 2IA,NWCC,4,3,15,0,0,15
Crew 2IA,NWCC,4,4,15,0,0,15
Crew 2IA,NWCC,4,5,12,3,20,15
Crew 2IA,NWCC,5,1,15,0,0,15
Crew 2IA,NWCC,5,2,15,0,0,15
Crew 2IA,NWCC,5,3,15,0,0,15
Crew 2IA,NWCC,5,4,15,0,0,15
Crew 2IA,NWCC,5,5,15,0,0,15
Crew 2IA,ONCC,1,1,4,3,42,7
Crew 2IA,ONCC,1,2,4,3,42,7
Crew 2IA,ONCC,1,3,4,3,42,7
Crew 2IA,ONCC,1,4,7,0,0,7
Crew 2IA,ONCC,1,5,7,0,0,7
Crew 2IA,ONCC,2,1,4,3,42,7
Crew 2IA,ONCC,2,2,7,0,0,7
Crew 2IA,ONCC,2,3,4,3,42,7
Crew 2IA,ONCC,2,4,7,0,0,7
Crew 2IA,ONCC,2,5,4,3,42,7
Crew 2IA,ONCC,3,1,7,0,0,7
Crew 2IA,ONCC,3,2,7,0,0,7
Crew 2IA,ONCC,3,3,7,0,0,7
Crew 2IA,ONCC,3,4,7,0,0,7
Crew 2IA,ONCC,3,5,6,1,14,7
Crew 2IA,ONCC,4,1,7,0,0,7
Crew 2IA,ONCC,4,2,7,0,0,7
Crew 2IA,ONCC,4,3,7,0,0,7
Crew 2IA,ONCC,4,4,7,0,0,7
Crew 2IA,ONCC,4,5,7,0,0,7
Crew 2IA,ONCC,5,1,7,0,0,7
Crew 2IA,ONCC,5,2,7,0,0,7
Crew 2IA,ONCC,5,3,7,0,0,7
Crew 2IA,ONCC,5,4,7,0,0,7
Crew 2IA,ONCC,5,5,7,0,0,7
Crew 2IA,OSCC,1,1,5,4,44,9
Crew 2IA,OSCC,1,2,5,4,44,9
Crew 2IA,OSCC,1,3,5,4,44,9
Crew 2IA,OSCC,1,4,5,4,44,9
Crew 2IA,OSCC,1,5,9,0,0,9
Crew 2IA,OSCC,2,1,5,4,44,9
Crew 2IA,OSCC,2,2,5,4,44,9
Crew 2IA,OSCC,2,3,5,4,44,9
Crew 2IA,OSCC,2,4,9,0,0,9
Crew 2IA,OSCC,2,5,9,0,0,9
Crew 2IA,OSCC,3,1,9,0,0,9
Crew 2IA,OSCC,3,2,9,0,0,9
Crew 2IA,OSCC,3,3,7,2,22,9
Crew 2IA,OSCC,3,4,7,2,22,9
Crew 2IA,OSCC,3,5,7,2,22,9
Crew 2IA,OSCC,4,1,9,0,0,9
Crew 2IA,OSCC,4,2,9,0,0,9
Crew 2IA,OSCC,4,3,9,0,0,9
Crew 2IA,OSCC,4,4,7,2,22,9
Crew 2IA,OSCC,4,5,7,2,22,9
Crew 2IA,OSCC,5,1,9,0,0,9
Crew 2IA,OSCC,5,2,9,0,0,9
Crew 2IA,OSCC,5,3,9,0,0,9
Crew 2IA,OSCC,5,4,9,0,0,9
Crew 2IA,OSCC,5,5,9,0,0,9
Crew 2IA,NRCC,1,1,5,4,44,9
Crew 2IA,NRCC,1,2,5,4,44,9
Crew 2IA,NRCC,1,3,5,4,44,9
Crew 2IA,NRCC,1,4,5,4,44,9
Crew 2IA,NRCC,1,5,5,4,44,9
Crew 2IA,NRCC,2,1,5,4,44,9
Crew 2IA,NRCC,2,2,5,4,44,9
